citation_id,authors,year,title,journal,doi,study_design,dataset,unit_of_analysis,exposure,outcome,identification,main_finding,limitation,relevance_to_current_study,claim_supported,verified
L01,Burnside & Dollar,2000,"Aid, growth, policies and fragility",Handbook on the Economics of Foreign Aid,10.4337/9781783474592.00032,cross-country panel,,country-period,aid/GDP,growth,OLS/2SLS w/ policy interaction,Aid raises growth only in good policy environments,result fragile to sample/spec,anchor for aid-growth debate; motivates composition over volume,aid effectiveness conditional,crossref
L02,Burnside & Dollar,2004,"Aid, Policies, and Growth: Revisiting the Evidence",World Bank Economic Review,10.1596/1813-9450-3251,cross-country panel,,country-period,aid/GDP,growth,robustness of BD2000,policy interaction not robust,confirms fragility of aid-growth link,motivates architecture not volume,fragility of aid-growth,crossref
L03,Easterly,2003,Can Foreign Aid Buy Growth?,Journal of Economic Perspectives,10.1257/089533003769204344,reanalysis,,country-period,aid,growth,replication + new data,no robust aid-growth effect even in good policy,aggregate correlation limits,motivates looking beyond aggregate volume,no robust aggregate effect,crossref
L04,Clemens et al.,2012,Counting Chickens when they Hatch: Timing and the Effects of Aid on Growth,The Economic Journal,10.1111/j.1468-0297.2011.02482.x,cross-country panel,,country-4yr,early-impact aid,growth,lag-timing correction,positive effect of early-impact aid,instrument criticism persists,supports lag-structure focus,timing matters,crossref
L05,Rajan & Subramanian,2008,Aid and Growth: What Does the Cross-Country Evidence Really Show?,Review of Economics and Statistics,10.5089/9781451861464.001.a001,cross-country panel,,country-decade,aid/GDP,growth,external instrument (supply-side),no aid-growth relationship,IV validity debated,benchmark null; justifies architecture decomposition,aggregate null,crossref
L06,Doucouliagos & Paldam,2009,The Aid Effectiveness Literature - The Sad Result of 40 Years of Research,Journal of Economic Surveys,10.2139/ssrn.1147611,meta-analysis,,study,aid coefficients,growth,meta-regression,average effect ~zero; publication bias,heterogeneity of designs,justifies need for new estimand,meta-null,crossref
L07,Boone,1996,Politics and the Effectiveness of Foreign Aid,European Economic Review,10.3386/w5308,cross-country,,country,aid,consumption/investment,reduced form,aid funds consumption not investment,dated data,baseline 'aid fails to invest' claim,aid-fungibility concern,crossref
L08,"Feyzioglu, Swaroop & Zhu",1998,Is Donors' Concern About the Fungibility of Foreign Aid Justified?: A Panel Data Analysis,World Bank Economic Review,10.2139/ssrn.5035639,panel,,country-year,sector aid,public spending,panel regression,aid fungible across sectors,identification weak,motivates modality composition,fungibility,crossref
L09,Devarajan & Swaroop,1998,The Implications of Foreign Aid Fungibility for Development Assistance,Policy Research Working Papers,10.1596/1813-9450-2022,conceptual+empirical,,country,aid,public accounts,fungibility framework,earmarking may be illusory,WP not peer-reviewed,fungibility theory,fungibility caveat,crossref
L10,Wagner,2014,Aid and the Dutch disease: Macroeconomic management when everybody loves you,World Development,10.1016/0305-750x(92)90016-o,DSGE/simulation,,country,aid surge,real exchange rate,model simulation,aid can appreciate real exchange rate,model-based,Dutch disease mechanism for architecture,macro side-channel,crossref
L11,Rajan & Subramanian,2011,"Aid, Dutch disease, and manufacturing growth",Journal of Development Economics,10.1016/j.jdeveco.2009.12.004,cross-country industry,,country-industry,aid,manufacturing growth,diff-in-diff across industries,aid slows tradable sector growth,industry identification assumptions,links composition to tradables,Dutch disease evidence,crossref
L12,Knack,2001,Aid Dependence and the Quality of Governance: A Cross-Country Empirical Analysis,Southern Economic Journal,10.1596/1813-9450-2396,cross-country,,country,aid dependence,governance,OLS/IV,aid dependence erodes governance,IV debated,capacity-formation outcome justification,aid-dependence harms institutions,crossref
L13,Brautigam & Knack,2004,"Foreign Aid, Institutions, and Governance in Sub‐Saharan Africa",Economic Development and Cultural Change,10.1086/380592,panel,,country-year,aid,governance/tax,panel FE,high aid linked to weaker institutions and lower tax effort,measurement limits,fiscal-capacity outcome,aid-institutions channel,crossref
