OECD Development Cooperation Directorate (DCD-DAC),,,,,,,,,,,,,,,,
Single table - for 2025 data,,,, ,,,,,,,,,,,,
including codes for channel pilot project,,,,,,,,,,,,,,,,
Updated January 2026,,,,,,,,,,,,,,,,
https://www.oecd.org/en/topics/sub-issues/oda-eligibility-and-conditions/dac-list-of-oda-recipients.html,,,,,,,,,,,,,Work in progress,,,
,,,,,,,,,,,,,For non-reporting organisations,,,
21000,21042,2025,Interpeace,International Peacebuilding Alliance,Interpeace,Alliance internationale pour la consolidation de la paix,100,,B01,B01,Not MCD,,,,"Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Renamed:  DCD/DAC/STAT(2008)5, Added:  DCD/DAC/STAT(2006)15 Replaces WSP International",
21000,21023,2025,IPPF,International Planned Parenthood Federation ,IPPF,Fédération internationale pour le planning familial,100,,B01,B01,MCD,,,,,
21000,21061,2025,IRCT,International Rehabilitation Council for Torture Victims,IRTC,Conseil international de réhabilitation pour les victimes de torture,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2011)16,
21000,21504,2025,,Blumont,,Blumont,Not assessed,,B01,B01,Not MCD,,,,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.,
21000,21506,2025,IRC,International Rescue Committee,IRC,International Rescue Committee,Not assessed,,B01,B01,Not MCD,,,,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.,
21000,21034,2025,UNION,International Union Against Tuberculosis and Lung Disease ,UNION,Union Internationale Contre la Tuberculose et les Maladies Respiratoires ,100,,B01,B01,MCD,,,,Renamed:  DCD/DAC/STAT(2004)3,
21000,21053,2025,,"IPAS-Protecting Women’s Health, Advancing Women’s Reproductive Rights",,"IPAS-Protecting Womens Health, Advancing Womens Reproductive Rights",100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10,
21000,21054,2025,LPI,Life and Peace Institute,IVP,Institut Vie et Paix,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10,
21000,21501,2025,OXFAM-I,OXFAM International,,OXFAM International,Not assessed,,B01,B01,Not MCD,,,,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.,
21000,21507,2025,PACT,Pact World,,,Not assessed,,B01,B01,Not MCD,,,,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.,
21000,21508,2025,SEforALL,Sustainable Energy for All,,,100,,B01,B01,Not MCD,,,,Added: DCD/DAC/STAT(2022)47,
21000,21031,2025,PANOS,PANOS Institute ,PANOS,Institut PANOS,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3,
21000,21032,2025,PSI,Population Services International ,PSI,Organisation internationale pour les services en matière de population,100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2003)2,
21000,21505,2025,,Save the Children,,Save the Children,Not assessed,,B01,B01,Not MCD,,,,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.,
21000,21041,2025,SID,Society for International Development,SDI,Société pour le développement international,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2006)15,
21000,21062,2025,TNC,The Nature Conservancy,TNC,The Nature Conservancy,12,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2015)20,
21000,21036,2025,WUS,World University Service ,EUM,Entraide universitaire mondiale,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.,
21000,21502,2025,,World Vision,WVI,World Vision,Not assessed,,B01,B01,Not MCD,,,,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.,
21000,21509,2025,AC,AmplifyChange,AC,AmplifyChange,100,,B01,B01,,,,,Added: DCD/DAC/STAT(2023)43,
20000,22000,,,Donor country-based NGO,,ONG basée dans un pays donneur,,,,,,,,,,
22000,21047,2025,,AgriCord,,AgriCord,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10,
22000,21060,2025,APT,Association for the Prevention of Torture,APT,Association pour la prévention de la torture,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2011)16,
22000,21006,2025,,Development Gateway Foundation ,,Development Gateway Foundation,100,,B01,B01,Not MCD,,,,,
22000,21049,2025,ECDPM,European Centre for Development Policy Management ,ECDPM,Centre européen de gestion de politiques de développement,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10,
22000,21008,2025,Eurostep,Eurostep ,Eurostep,Eurostep,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2005)9,
22000,47042,2025,FIT,Foundation for International Training ,FIT,Fondation pour la formation internationale dans les pays du tiers monde,100,,B01,B01,Not MCD,,,,Change of channel category:  DCD/DAC/STAT(2012)6/REV1,
22000,21050,2025,,Geneva Call,,Appel de Genève,100,,B01,B01,Not MCD,,,,,
22000,21014,2025,HURIDOCS,Human Rights Information and Documentation Systems ,HURIDOCS,Systèmes d’Information et de Documentation sur les Droits de l’Homme,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2000)4,
22000,21015,2025,ICRA,International Catholic Rural Association ,ICRA,Association internationale rurale catholique,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.,
22000,21058,2025,ICG,International Crisis Group,ICG,International Crisis Group,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added: DCD/DAC/STAT(2010)5,
22000,21019,2025,IFS,International Federation of Settlements and Neighbourhood Centres ,IFS,Fédération internationale des centres sociaux et communautaires,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.,
22000,21025,2025,ISC,International Seismological Centre ,ISC,Centre séismologique international,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.,
22000,21026,2025,ISHR,International Service for Human Rights ,ISHR,Service International pour les Droits de l’Homme,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2000)4,
22000,21040,2025,IWTC,International Women's Tribune Centre,CTIF,Centre de la tribune internationale de la femme,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2007)7 and  DCD/DAC/STAT(2008)10,
22000,21027,2025,ITF,ITF Enhancing Human Security ,ITF,Fonds international d’affectation spéciale pour le déminage et l’assistance aux victimes des mines,100,,B01,B01,Not MCD,,,,Renamed:  DCD/DAC/STAT(2017)13.  Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3,
22000,22501,2025,OXFAM,OXFAM - provider country office,,OXFAM - bureau du pays donneur,Not assessed,,B01,B01,Not MCD,,,,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.,
22000,22502,2025,,Save the Children - donor country office,,Save the Children - bureau du pays donneur,Not assessed,,B01,B01,Not MCD,,,,Added as part of the Channel Pilot: DCD/DAC/STAT(2014)9.,
22000,21033,2025,TI,Transparency International ,TI,Transparency International,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.,
22000,21037,2025,WWB,Women's World Banking,WWB,Banque mondiale des femmes,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3,
22000,21035,2025,OMCT,World Organisation Against Torture ,OMCT,Organisation mondiale contre la torture,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2000)4  Replaces WOAT,
20000,23000,,,Developing country-based NGO ,,ONG basée dans un pays en développement,,,,,,,,,,
23000,21059,2025,ASF,Africa Solidarity Fund,ASF,Fonds solidaire pour l'Afrique,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Change of channel category (formerly channel code 46001 under Regional Development Banks): DCD/DAC/STAT(2010)5,
23000,21048,2025,AAU,Association of African Universities,AUA,Association des universités africaines,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10,
23000,21010,2025,FAWE,Forum for African Women Educationalists ,FAWE,Forum des éducatrices africaines,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2004)3,
23000,21051,2025,ISPEC,Institut Supérieur Panafricaine d’Economie Coopérative,ISPEC,Institut supérieur panafricaine d’economie coopérative,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10,
23000,21028,2025,IUEF,International University Exchange Fund - IUEF Stip. in Africa and Latin America,FIEU,Fonds international d’échanges universitaires - Échanges intéressant l’Afrique et l’Amérique latine,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  ,
23000,21003,2025,CLASCO,Latin American Council for Social Sciences ,CLASCO,Conseil latino-américain des sciences sociales,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  ,
23000,23501,2025,,National Red Cross and Red Crescent Societies,,Sociétés nationales de la Croix-Rouge et du Croissant-Rouge,Not assessed,,B01,B01,MCD,,,,Added as part of the Channel Pilot:  DCD/DAC/STAT(2017)13,
23000,21030,2025,PAID,Pan African Institute for Development,IPD,Institut panafricain pour le développement,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  ,
23000,21055,2025,RATN,Regional AIDS Training Network,RRFS,Réseau régional de formation sur le SIDA,100,,B01,B01,Not MCD,,,,Not a major channel of delivery:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10,
30000,30000,,,PUBLIC-PRIVATE PARTNERSHIPS (PPPs) and NETWORKS,,PARTENARIATS PUBLIC-PRIVÉ ET RÉSEAUX,,,,,,,,,,
30000,31000,,,Public-Private Partnership (PPP),,Partenariat public-privé (PPP),,,,,,,,,,
31000,30018,2025,AFC,Africa Finance Corporation,AFC,Africa Finance Corporation,100,,B01,B01,MCD,,,,Added: DCD/DAC/STAT(2021)4,
31000,30008,2025,,Cities Alliance,,Alliance pour les villes,100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2006)15,
31000,31006,2025,CEPI,Coalition for Epidemic Preparedness Innovations,CIPE,Coalition pour les innovations en matière de préparation aux épidémies,88,,B01,B01,Not MCD,,,,ODA-eligible but not added to Annex 2 List; channel code created in single table [DCD/DAC/STAT(2018)35].,
31000,30019,2025,TCX,Currency Exchange Fund N.V.,TCX,Currency Exchange Fund N.V.,100,,B01,B01,Not MCD,,,,Added: DCD/DAC/STAT(2021)4,
31000,30016,2025,EFSE,European Fund for Southeast Europe,EFSE,European Fund for Southeast Europe,100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2012)9,
31000,30007,2025,GAID,Global Alliance for ICT and Development,GAID,Alliance mondiale pour les TIC et le développement,100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2007)7,
31000,30001,2025,GAIN,Global Alliance for Improved Nutrition ,GAIN,Alliance mondiale pour une meilleure nutrition ,100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2003)2,
31000,30012,2025,GCPF,Global Climate Partnership Fund,GCPF,Global Climate Partnership Fund,100,,B01,B01,MCD,,,,Added: DCD/DAC/STAT(2010)5,
31000,47043,2025,,Global Crop Diversity Trust ,,Global Crop Diversity Trust,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1. Renamed:  DCD/DAC/STAT(2005)9,
31000,30015,2025,GEEREF,Global Energy Efficiency and Renewable Energy Fund,GEEREF,Fonds mondial pour la promotion de l'efficacité énergétique et des énergies renouvelables,100,,B01,B01,MCD,,,,"Change of channel category (formerly 42006 under EU Institutions): DCD/DAC/STAT(2010)5.  Moved from ""Other Multilateral Institutions"" and code 47114 deleted. Now under EC as stated in DCD/DAC/STAT(2008)10; Added:  DCD/DAC/STAT(2008)10",
31000,30020,2025,GEEREF II,Global Energy Efficiency and Renewable Energy Fund II,GEEREF II,Fonds mondial pour la promotion de l'efficacité énergétique et des énergies renouvelables II,100,,B01,B01,MCD,,,,Added: DCD/DAC/STAT(2021)4,
31000,30003,2025,GeSCI,Global e-Schools and Communities Initiative ,GeSCI,Initiative mondiale en faveur de l’informatique dans les écoles et dans les communautés ,100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2005)9,
31000,30004,2025,GWP,Global Water Partnership ,GWP,Partenariat mondial pour l'eau,100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2004)3,
31000,30005,2025,IAVI,International AIDS Vaccine Initiative ,IAVI,Initiative internationale pour un vaccin contre le SIDA,100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2003)2,
31000,30006,2025,IPM,International Partnership on Microbicides ,IPM,Partenariat international pour des microbicides ,100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2003)2,
31000,30011,2025,IUCN,International Union for the Conservation of Nature,UICN,Union internationale pour la conservation de la nature,100,,B01,B01,MCD,,,,Reclassified:  DCD/DAC/STAT(2008)10 ,
31000,30013,2025,MEF,Microfinance Enhancement Facility,MEF,Mécanisme de soutien au microfinancement,100,,B01,B01,MCD,,,,Added: DCD/DAC/STAT(2010)5,
31000,30014,2025,REGMIFA,"Regional Micro, Small and Medium Enterprise Investment Fund for Sub-Saharan Africa",REGMIFA,"Fonds régional d’investissement pour les très petites, petites et moyennes entreprises d’Afrique subsaharienne",100,,B01,B01,MCD,,,,Added: DCD/DAC/STAT(2010)5,
31000,21056,2025,REEEP,Renewable Energy and Energy Efficiency Partnership,REEEP,Partenariat pour les énergies renouvelables et l'efficience énergétique,100,,B01,B01,MCD,,,,Channel category changed:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2008)10,
31000,30017,2025,SANAD,"SANAD Fund for Micro, Small and Medium Enterprises",SANAD,"SANAD Fund for Micro, Small and Medium Enterprises",100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2012)9,
31000,30009,2025,SAS,Small Arms Survey,SAS,Small Arms Survey,100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2007)7,
30000,32000,,,Network,,RÉSEAU,,,,,,,,,,
32000,47010,2025,CAPAM,Commonwealth Agency for Public Administration and Management ,CAPAM,Agence du Commonwealth pour l'administration et la gestion publiques,100,,B01,B01,MCD,,,,Change of Channel Category:  DCD/DAC/STAT(2012)6/REV1.  Added:  DCD/DAC/STAT(2012)6/REV1,
32000,47028,2025,CPTM,Commonwealth Partnership for Technical Management ,CPTM,Partenariat pour la gestion technique (Commonwealth),100,,B01,B01,MCD,,,,Changed channel category:  Summary Record of 2012 WP-STAT meeting.,
32000,31007,2025,DNDi,Drugs for Neglected Diseases initative,DNDi,Initiative médicaments contres les maladies négligées,100,,B01,B01,MCD,,,,Added: DCD/DAC/STAT(2021)30,
32000,21043,2025,AWEPA,European Parliamentarians for Africa,AWEPA,Association des parlementaires d’Europe pour l’Afrique,100,,B01,B01,MCD,,,,Channel category changed:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2006)15,
32000,31004,2025,EITI,Extractive Industries Transparency Initiative International Secretariat,ITIE,Secrétariat de l'Initiative pour la transparence dans les industries extractives,100,,B01,B01,MCD,,,,Added: DCD/DAC/STAT(2010)5,
32000,31001,2025,GDN,Global Development Network,GDN,Réseau de développement mondial,100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2007)7,
32000,31002,2025,GKP,Global Knowledge Partnership,GKP,Alliance mondiale pour le savoir ,100,,B01,B01,MCD,,,,Added:  DCD/DAC/STAT(2005)9,
32000,31003,2025,ILC,International Land Coalition,ILC,Coalition internationale pour l'accès à la terre ,100,,B01,B01,MCD,,,,Added: DCD/DAC/STAT(2010)5,
32000,31005,2025,PNoWB,Parliamentary Network on the World Bank,RPsBM,Réseau parlementaire sur la Banque mondaile,100,,B01,B01,Not MCD,,,,"Not a major channel of delivery, channel category changed:  DCD/DAC/STAT(2011)7/REV1.  Added:  DCD/DAC/STAT(2010)5",
32000,31008,2025,FIND,Foundation for Innovative New Diagnostics,FIND,Fondation pour les nouveaux diagnostics innovants,100,,B01,B01,Not MCD,,,,Added: DCD/DAC/STAT(2023)43,
40000,40000,,,MULTILATERAL ORGANISATIONS,,ORGANISATIONS MULTILATÉRALES,,,,,,,,,,
40000,41000,,,"United Nations agency, fund or commission (UN)",,"Agence, fonds ou commission des Nations unies (NU)",,,,,,,,,,
41000,41100,,,UN entities (core contributions reportable in full),,Entités des Nations Unies (contributions aux budgets reguliers à déclarer dans leur intégralité),,,,,,,,,New Channel Category:DCD/DAC/STAT(2020)47,
41100,41101,2025,UNCCD,Convention to Combat Desertification ,CCD ,Convention sur la lutte contre la désertification ,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Renamed:  DCD/DAC/STAT(2008)5,
41100,41103,2025,ECA,Economic Commission for Africa ,CEA,Commission économique pour l'Afrique,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41100,41107,2025,IAEA-TCF,International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only),AIEA-FTC,Agence internationale de l'énergie atomique (Contributions au Fonds de Coopération Technique uniquement),100,,B02,B022,MCD,x,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Renamed:  DCD/DAC/STAT(2008)10,
41100,41108,2025,IFAD,International Fund for Agricultural Development ,FIDA,Fonds international de développement agricole,100,988,B02,B021,MCD,x,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41100,47153,2025,ACC,IFAD Core Additional Climate Contributions,ACC,FIDA Contributions Additionnelles de Base pour le Climat,100,,B02,B02,Not MCD,,,,Added: DCD/DAC/STAT(2025)57,
41100,41144,2025,ILO-RBSA,International Labour Organisation - Regular Budget Supplementary Account,OIT-CSBO,Organisation internationale du Travail - Compte supplémentaire du budget ordinaire,100,,B02,B021,MCD,x,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added: DCD/DAC/STAT(2010)5,
41100,41145,2025,IMO-TCF,International Maritime Organization - Technical Co-operation Fund,OMI-PICT,Organisation maritime internationale - Programme intégré de coopération technique,100,,B02,B022,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41100,47066,2025,IOM,International Organisation for Migration ,OIM,Organisation internationale des migrations ,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Change of Channel Category:  DCD/DAC/STAT(2019)17,
41100,47083,2025,PAHO,Pan-American Health Organisation ,OPS,Organisation panaméricaine de la santé,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41100,41110,2025,UNAIDS,Joint United Nations Programme on HIV/AIDS ,ONUSIDA,Programme commun des Nations Unies sur le VIH/SIDA,100,,B02,B021,MCD,x,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41100,41320,2025,UN-TBLDC,Technology Bank for Least Developed Countries,UN-TBLDC,Banque de Technologies en faveur des Pays les Moins Avancés,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added:  DCD/DAC/STAT(2018)35,
41100,41111,2025,UNCDF,United Nations Capital Development Fund ,FENU,Fonds d’équipement des Nations Unies ,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added:  DCD/DAC/STAT(2001)6,
41100,41112,2025,UNCTAD,United Nations Conference on Trade and Development ,CNUCED,Conférence des Nations Unies sur le commerce et le développement,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41100,41149,2025,UNDCO,United Nations Development Coordination Office,UNDCO,Bureau de la coordination des activités de développement des Nations Unies,100,,B02,B021,MCD,,,,Change of Channel Category:DCD/DAC/STAT(2020)47;Added:  DCD/DAC/STAT(2019)17,
41100,41114,2025,UNDP,United Nations Development Programme ,PNUD,Programme des Nations Unies pour le développement,100,959,B02,B021,MCD,x,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
41100,41116,2025,UNEP,United Nations Environment Programme ,PNUE,Programme des Nations Unies pour l'environnement,100,,B02,B021,MCD,x,,,Change of Channel Category:DCD/DAC/STAT(2020)47,
